Gene	MYC_RNA
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.647691282
HSC2_UPPER_AERODIGESTIVE_TRACT	5.229269169
KG1C_CENTRAL_NERVOUS_SYSTEM	4.171196807
HUH7_LIVER	4.986320863
KMBC2_URINARY_TRACT	4.430994053
KMRC20_KIDNEY	4.422654974
HUCCT1_BILIARY_TRACT	6.456322326
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.673029084
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.075968552
KALS1_CENTRAL_NERVOUS_SYSTEM	3.177189421
HEC108_ENDOMETRIUM	5.417252096
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.002512713
HUH28_BILIARY_TRACT	5.003972828
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
HEC265_ENDOMETRIUM	5.39440146
CAL12T_LUNG	5.918398417
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.453258952
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.963968238
SKNSH_AUTONOMIC_GANGLIA	3.665886048
HCC1954_BREAST	5.319928409
CAMA1_BREAST	5.274824865
HEC6_ENDOMETRIUM	5.9721755
AM38_CENTRAL_NERVOUS_SYSTEM	6.572854474
HEC50B_ENDOMETRIUM	6.921890774
HSC3_UPPER_AERODIGESTIVE_TRACT	6.265459958
HSC4_UPPER_AERODIGESTIVE_TRACT	4.83019119
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.785430616
KP4_PANCREAS	5.553739198
KE39_STOMACH	6.038874626
COV504_OVARY	
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.404314963
VMRCRCW_KIDNEY	6.420078565
HGC27_STOMACH	6.524636522
LUDLU1_LUNG	6.036399016
HUG1N_STOMACH	5.335090718
U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.244843449
NUGC4_STOMACH	5.954491425
BGC823_STOMACH	
HMC18_BREAST	7.532399804
CAS1_CENTRAL_NERVOUS_SYSTEM	3.988926471
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.332130134
CORL23_LUNG	9.079161825
MORCPR_LUNG	6.1281454
HARA_LUNG	4.76544596
SKOV3_OVARY	4.435508129
HPAFII_PANCREAS	6.455535928
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.500751452
NCIH1568_LUNG	5.720001421
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.151278589
A498_KIDNEY	5.041488879
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.383699942
